"Rosario, Eddie"	ATL	0.259	0.305	379	0.435	11	0	0	0	0	0	LF
"Canha, Mark"	OAK	0.231	0.358	519	0.387	12	0	0	0	0	0	LF
"Smith, Dominic"	NYM	0.244	0.304	446	0.363	2	0	0	0	0	0	LF
"Hernandez, Teoscar"	TOR	0.296	0.346	550	0.524	12	0	0	0	0	0	RF
"Castellanos, Nick"	CIN	0.309	0.362	531	0.576	3	0	0	0	0	0	RF
"Haniger, Mitch"	SEA	0.253	0.318	620	0.485	1	0	0	0	0	0	RF
"Judge, Aaron"	NYY	0.287	0.373	550	0.544	6	0	0	0	0	0	RF
"Renfroe, Hunter"	BOS	0.259	0.315	521	0.501	1	0	0	0	0	0	RF
"Soto, Juan"	WSH	0.313	0.465	502	0.534	9	0	0	0	0	0	RF
"Tucker, Kyle"	HOU	0.294	0.359	506	0.557	14	0	0	0	0	0	RF
"Garcia, Avisail"	MIL	0.262	0.33	461	0.49	8	0	0	0	0	0	RF
"Harper, Bryce"	PHI	0.309	0.429	488	0.615	13	0	0	0	0	0	RF
"Blackmon, Charlie"	COL	0.27	0.351	514	0.411	3	0	0	0	0	0	RF
"Yastrzemski, Mike"	SF	0.224	0.311	468	0.457	4	0	0	0	0	0	RF
"Soler, Jorge"	ATL	0.223	0.316	516	0.432	0	0	0	0	0	0	RF
"Carlson, Dylan"	STL	0.266	0.343	542	0.437	2	0	0	0	0	0	RF
"Myers, Wil"	SD	0.256	0.334	442	0.434	8	0	0	0	0	0	RF
"Pederson, Joc"	ATL	0.238	0.31	429	0.422	2	0	0	0	0	0	RF
"Betts, Mookie"	LAD	0.264	0.367	466	0.487	10	0	0	0	0	0	RF
"Margot, Manuel"	TB	0.254	0.313	421	0.382	13	0	0	0	0	0	RF
"MonteWade, La"	SF	0.253	0.326	336	0.482	6	0	0	0	0	0	RF
"Conforto, Michael"	NYM	0.232	0.344	406	0.384	1	0	0	0	0	0	RF
"Dozier, Hunter"	KC	0.216	0.285	487	0.394	5	0	0	0	0	0	RF
"Kepler, Max"	MIN	0.211	0.306	426	0.413	10	0	0	0	0	0	RF
"Bichette, Bo"	TOR	0.298	0.343	640	0.484	25	0	0	0	0	0	SS
"Tatis, Fernando"	SD	0.282	0.364	478	0.611	25	0	0	0	0	0	SS
"Correa, Carlos"	HOU	0.279	0.366	555	0.485	0	0	0	0	0	0	SS
"Crawford, Brandon"	SF	0.298	0.373	483	0.522	11	0	0	0	0	0	SS
"Swanson, Dansby"	ATL	0.248	0.311	588	0.449	9	0	0	0	0	0	SS
"Bogaerts, Xander"	BOS	0.295	0.37	529	0.493	5	0	0	0	0	0	SS
"Story, Trevor"	COL	0.251	0.329	526	0.471	20	0	0	0	0	0	SS
"Adames, Willy"	MIL	0.262	0.337	497	0.481	5	0	0	0	0	0	SS
"Farmer, Kyle"	CIN	0.263	0.316	483	0.416	2	0	0	0	0	0	SS
"Lindor, Francisco"	NYM	0.23	0.322	452	0.412	10	0	0	0	0	0	SS
"Anderson, Tim"	CWS	0.309	0.338	527	0.469	18	0	0	0	0	0	SS
"Rosario, Amed"	CLE	0.282	0.321	550	0.409	13	0	0	0	0	0	SS
"Seager, Corey"	LAD	0.306	0.394	353	0.521	1	0	0	0	0	0	SS
"Crawford, J.P."	SEA	0.273	0.338	619	0.376	3	0	0	0	0	0	SS
"Gregorius, Didi"	PHI	0.209	0.27	368	0.37	3	0	0	0	0	0	SS
"Kiner-Falefa, Isiah"	TEX	0.271	0.312	635	0.357	20	0	0	0	0	0	SS
"Urias, Julio"	LAD	0	0	0	0	0	32	32	2.96	185.2	38	P
"Wainwright, Adam"	STL	0	0	0	0	0	32	32	3.05	206.1	50	P
"Buehler, Walker"	LAD	0	0	0	0	0	33	33	2.47	207.2	52	P
"Cole, Gerrit"	NYY	0	0	0	0	0	30	30	3.23	181.1	41	P
"Scherzer, Max"	LAD	0	0	0	0	0	30	30	2.46	179.1	36	P
"Flexen, Chris"	SEA	0	0	0	0	0	31	31	3.61	179.2	40	P
"Fried, Max"	ATL	0	0	0	0	0	28	28	3.04	165.2	41	P
"Gausman, Kevin"	SF	0	0	0	0	0	33	33	2.81	192	50	P
"Hendricks, Kyle"	CHC	0	0	0	0	0	32	32	4.77	181	44	P
"Matz, Steven"	TOR	0	0	0	0	0	29	29	3.82	150.2	43	P
"Morton, Charlie"	ATL	0	0	0	0	0	33	33	3.34	185.2	58	P
"JinRyu, Hyun"	TOR	0	0	0	0	0	31	31	4.37	169	37	P
"Wheeler, Zack"	PHI	0	0	0	0	0	32	32	2.78	213.1	46	P
"Cease, Dylan"	CWS	0	0	0	0	0	32	32	3.91	165.2	68	P
"DeSclafani, Anthony"	SF	0	0	0	0	0	31	31	3.17	167.2	42	P
"Mahle, Tyler"	CIN	0	0	0	0	0	33	33	3.75	180	64	P
"McCullers, Lance"	HOU	0	0	0	0	0	28	28	3.16	162.1	76	P
"Montas, Frankie"	OAK	0	0	0	0	0	32	32	3.37	187	57	P
"Ray, Robbie"	TOR	0	0	0	0	0	32	32	2.84	193.1	52	P
"Rodon, Carlos"	CWS	0	0	0	0	0	24	24	2.37	132.2	36	P
"Rodriguez, Eduardo"	BOS	0	0	0	0	0	32	31	4.74	157.2	47	P
"Bassitt, Chris"	OAK	0	0	0	0	0	27	27	3.15	157.1	39	P
"Berrios, Jose"	TOR	0	0	0	0	0	32	32	3.52	192	45	P
"Civale, Aaron"	CLE	0	0	0	0	0	21	21	3.84	124.1	31	P
"Marquez, German"	COL	0	0	0	0	0	32	32	4.4	180	64	P
"Miley, Wade"	CIN	0	0	0	0	0	28	28	3.37	163	50	P
"Suter, Brent"	MIL	0	0	0	0	0	61	1	3.07	73.1	24	P
"Burnes, Corbin"	MIL	0	0	0	0	0	28	28	2.43	167	34	P
"Eovaldi, Nathan"	BOS	0	0	0	0	0	32	32	3.75	182.1	35	P
"Garcia, Luis"	HOU	0	0	0	0	0	30	28	3.48	155.1	50	P
"Giolito, Lucas"	CWS	0	0	0	0	0	31	31	3.53	178.2	52	P
"Greinke, Zack"	HOU	0	0	0	0	0	30	29	4.16	171	36	P
"Lynn, Lance"	CWS	0	0	0	0	0	28	28	2.69	157	45	P
"Manaea, Sean"	OAK	0	0	0	0	0	32	32	3.91	179.1	41	P
"Musgrove, Joe"	SD	0	0	0	0	0	32	31	3.18	181.1	54	P
"Smyly, Drew"	ATL	0	0	0	0	0	29	23	4.48	126.2	41	P
"Valdez, Framber"	HOU	0	0	0	0	0	22	22	3.14	134.2	58	P
"Webb, Logan"	SF	0	0	0	0	0	27	26	3.03	148.1	36	P
"Fleming, Josh"	TB	0	0	0	0	0	26	11	5.09	104.1	31	P
"Gibson, Kyle"	PHI	0	0	0	0	0	31	30	3.71	182	64	P
"Gonzales, Marco"	SEA	0	0	0	0	0	25	25	3.96	143.1	42	P
"Green, Chad"	NYY	0	0	0	0	0	67	0	3.12	83.2	17	P
"Happ, J.A."	STL	0	0	0	0	0	30	30	5.79	152.1	48	P
"Houser, Adrian"	MIL	0	0	0	0	0	28	26	3.22	142.1	64	P
"Irvin, Cole"	OAK	0	0	0	0	0	32	32	4.24	178.1	42	P
"Kershaw, Clayton"	LAD	0	0	0	0	0	22	22	3.55	121.2	21	P
"Lyles, Jordan"	TEX	0	0	0	0	0	32	30	5.15	180	56	P
"McClanahan, Shane"	TB	0	0	0	0	0	25	25	3.43	123.1	37	P
"Peralta, Freddy"	MIL	0	0	0	0	0	28	27	2.81	144.1	56	P
"Plesac, Zach"	CLE	0	0	0	0	0	25	25	4.67	142.2	34	P
